track_name,artist_name,duration,release_date,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
Lay It Down Gmix - Main,Lloyd,302186,2011-01-01,28,0.597,0.8,-5.422999999999999,0.312,0.0461,0.0,0.18,0.565,155.93200000000002,5.036433333333333
Bartender (feat. Akon),T-Pain,238800,2007-06-05,75,0.8320000000000001,0.391,-8.504,0.0628,0.0564,0.0,0.2239999999999999,0.436,104.961,3.98
Bartender (feat. Akon),T-Pain,238800,2007-06-05,75,0.8320000000000001,0.391,-8.504,0.0628,0.0564,0.0,0.2239999999999999,0.436,104.961,3.98
Chosen (feat. Ty Dolla $ign),Blxst,161684,2020-12-04,76,0.5710000000000001,0.767,-5.16,0.287,0.336,0.0,0.0809,0.605,93.421,2.694733333333333
Tie Me Down (with Elley Duhé),Gryffin,218295,2018-08-03,72,0.5479999999999999,0.8390000000000001,-2.371,0.0644,0.135,0.0,0.102,0.314,98.932,3.63825
Build a Bitch,Bella Poarch,122772,2021-05-14,89,0.855,0.4629999999999999,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,2.0462
Build a Bitch,Bella Poarch,122772,2021-05-14,89,0.855,0.4629999999999999,-7.454,0.0367,0.217,1.77e-05,0.347,0.866,102.931,2.0462
Ever After,Bonnie Bailey,231559,2018-05-11,50,0.774,0.8,-6.504,0.0314,0.259,3.8e-06,0.0888,0.902,113.994,3.8593166666666665
Calling My Phone,Lil Tjay,205458,2021-04-02,89,0.907,0.3929999999999999,-7.636,0.0539,0.451,1.35e-06,0.135,0.2019999999999999,104.949,3.4243
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,125579,2021-03-20,70,0.903,0.785,-4.709,0.322,0.0245,0.0,0.0652,0.823,129.835,2.092983333333333
Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,125579,2021-03-20,70,0.903,0.785,-4.709,0.322,0.0245,0.0,0.0652,0.823,129.835,2.092983333333333
Butter,BTS,164441,2021-05-21,98,0.759,0.4589999999999999,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,2.740683333333333
Butter,BTS,164441,2021-05-21,98,0.759,0.4589999999999999,-5.187,0.0948,0.00323,0.0,0.0906,0.695,109.997,2.740683333333333
Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),T-Pain,235733,2011-07-08,40,0.782,0.6759999999999999,-6.144,0.324,0.0078599999999999,1.17e-06,0.141,0.878,158.162,3.928883333333333
Love Me,Justin Bieber,191573,2009-01-01,43,0.7290000000000001,0.868,-3.319,0.0609,0.00939,0.0,0.283,0.632,124.957,3.192883333333333
Who's That Girl (feat. Eve),Guy Sebastian,219693,2010-11-08,51,0.759,0.833,-5.268,0.0353,0.155,0.0,0.192,0.599,127.017,3.66155
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,278085,2021-04-22,91,0.883,0.674,-8.043,0.357,0.21,0.0,0.0678,0.73,141.02,4.63475
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,278085,2021-04-22,91,0.883,0.674,-8.043,0.357,0.21,0.0,0.0678,0.73,141.02,4.63475
Ayegirl,1way Frank,170866,2014-09-04,58,0.7829999999999999,0.38,-8.507,0.0974,0.735,1.58e-06,0.158,0.84,99.802,2.847766666666667
Ayegirl,1way Frank,170866,2014-09-04,58,0.7829999999999999,0.38,-8.507,0.0974,0.735,1.58e-06,0.158,0.84,99.802,2.847766666666667
You Da One,Rihanna,200013,2011-01-01,44,0.7020000000000001,0.715,-5.377000000000001,0.0425,0.503,2.44e-05,0.126,0.863,127.05,3.33355
Hands Up,Chris Brown,147716,2017-12-13,53,0.565,0.73,-5.941,0.127,0.369,0.0,0.0773,0.526,102.792,2.461933333333333
I Don't Mind (feat. Juicy J),Usher,251989,2014-11-21,69,0.87,0.4639999999999999,-8.337,0.178,0.205,0.0,0.0902,0.457,112.974,4.199816666666667
Low (feat. T-Pain),Flo Rida,231400,2008-03-17,80,0.918,0.609,-5.64,0.0791,0.0928,0.0,0.139,0.304,128.00799999999998,3.8566666666666665
Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,98,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.000158,0.123,0.742,110.968,3.4811
Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,98,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.000158,0.123,0.742,110.968,3.4811
Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,98,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.000158,0.123,0.742,110.968,3.4811
Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,98,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.000158,0.123,0.742,110.968,3.4811
Kiss Me More (feat. SZA),Doja Cat,208866,2021-04-09,98,0.762,0.701,-3.5410000000000004,0.0286,0.235,0.000158,0.123,0.742,110.968,3.4811
Close up,Prophet the Artist,147382,2020-11-11,50,0.7390000000000001,0.685,-10.203,0.318,0.353,9.41e-05,0.144,0.598,127.988,2.456366666666667
Love You Different (feat. BEAM),Justin Bieber,186695,2021-03-19,72,0.759,0.584,-6.655,0.06,0.0652,1.59e-06,0.16,0.374,127.138,3.1115833333333334
Heartbreak Anniversary,Giveon,198370,2020-03-27,92,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,3.3061666666666665
Heartbreak Anniversary,Giveon,198370,2020-03-27,92,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,3.3061666666666665
Heartbreak Anniversary,Giveon,198370,2020-03-27,92,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,3.3061666666666665
Heartbreak Anniversary,Giveon,198370,2020-03-27,92,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,3.3061666666666665
deja vu,Olivia Rodrigo,215506,2021-05-21,88,0.442,0.612,-7.222,0.1119999999999999,0.584,5.7000000000000005e-06,0.37,0.178,180.917,3.5917666666666666
Caroline,Aminé,209640,2017-07-28,78,0.94,0.335,-10.179,0.505,0.17,0.0,0.262,0.7070000000000001,120.04,3.494
Caroline,Aminé,209640,2017-07-28,78,0.94,0.335,-10.179,0.505,0.17,0.0,0.262,0.7070000000000001,120.04,3.494
Work It,Missy Elliott,263226,2002-11-11,71,0.884,0.677,-5.603,0.283,0.0778,0.0,0.0732,0.584,101.868,4.3871
Rich Boy Trap,Daz Payne,166956,2021-03-26,42,0.7759999999999999,0.584,-10.606,0.0873,0.142,6.659999999999999e-05,0.103,0.295,138.031,2.7826
Goodies (feat. Petey Pablo),Ciara,223000,2004-09-27,68,0.826,0.647,-6.306,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,3.716666666666667
Iko Iko (My Bestie),Justin Wellington,182857,2019-06-03,81,0.862,0.753,-5.356,0.0625,0.131,2.01e-06,0.077,0.8270000000000001,105.039,3.047616666666667
Copines,Aya Nakamura,171720,2018-11-02,80,0.701,0.787,-3.941,0.0855,0.27,0.0,0.105,0.904,180.02700000000002,2.862
Run It! (feat. Juelz Santana),Chris Brown,229866,2005,72,0.846,0.482,-6.721,0.129,0.0246,0.0,0.3929999999999999,0.212,100.969,3.8311
San Andreas Theme Song,Young Maylay,86546,2005-11-07,65,0.52,0.836,-7.13,0.213,0.0164,0.0,0.19,0.486,96.855,1.4424333333333332
OUT out,AP3,214163,2021-03-26,41,0.8420000000000001,0.7190000000000001,-8.075,0.107,0.16,4.02e-06,0.122,0.8,130.007,3.569383333333333
motive (with Doja Cat),Ariana Grande,167989,2020-10-30,82,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,2.7998166666666666
motive (with Doja Cat),Ariana Grande,167989,2020-10-30,82,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,2.7998166666666666
motive (with Doja Cat),Ariana Grande,167989,2020-10-30,82,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,2.7998166666666666
motive (with Doja Cat),Ariana Grande,167989,2020-10-30,82,0.789,0.742,-5.664,0.0652,0.0681,0.0,0.166,0.6609999999999999,116.965,2.7998166666666666
Why,Bazzi,148259,2018-04-12,72,0.6759999999999999,0.67,-6.584,0.0374,0.353,0.0,0.103,0.54,113.01,2.4709833333333333
Talkin' Bout (feat. Saweetie),Loui,126225,2021-04-16,71,0.885,0.466,-6.127999999999999,0.282,0.0396,0.0,0.127,0.272,75.014,2.10375
Talkin' Bout (feat. Saweetie),Loui,126225,2021-04-16,71,0.885,0.466,-6.127999999999999,0.282,0.0396,0.0,0.127,0.272,75.014,2.10375
Talkin' Bout (feat. Saweetie),Loui,126225,2021-04-16,71,0.885,0.466,-6.127999999999999,0.282,0.0396,0.0,0.127,0.272,75.014,2.10375
International Love (feat. Chris Brown),Pitbull,227280,2011-06-17,75,0.67,0.855,-3.035,0.0499,0.0124,0.0,0.335,0.648,120.05,3.788
She Make It Clap,Soulja Boy,111621,2021-03-12,61,0.938,0.4629999999999999,-13.124,0.479,0.035,0.00652,0.1,0.46,119.878,1.86035
She Make It Clap,Soulja Boy,111621,2021-03-12,61,0.938,0.4629999999999999,-13.124,0.479,0.035,0.00652,0.1,0.46,119.878,1.86035
She Make It Clap,Soulja Boy,111621,2021-03-12,61,0.938,0.4629999999999999,-13.124,0.479,0.035,0.00652,0.1,0.46,119.878,1.86035
She Make It Clap,Soulja Boy,111621,2021-03-12,61,0.938,0.4629999999999999,-13.124,0.479,0.035,0.00652,0.1,0.46,119.878,1.86035
Somebody To Love Remix,Justin Bieber,220160,2011-01-01,59,0.703,0.836,-4.619,0.0283,0.0038799999999999,0.0,0.16,0.552,129.987,3.669333333333333
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,2021-03-19,99,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.4639999999999999,90.03,3.30135
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,2021-03-19,99,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.4639999999999999,90.03,3.30135
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,2021-03-19,99,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.4639999999999999,90.03,3.30135
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,2021-03-19,99,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.4639999999999999,90.03,3.30135
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,198081,2021-03-19,99,0.677,0.696,-6.181,0.119,0.321,0.0,0.42,0.4639999999999999,90.03,3.30135
Aya,WilliamGregory,179400,2021-04-15,35,0.708,0.823,-5.261,0.0508,0.0452,0.000256,0.133,0.1689999999999999,100.055,2.99
Big Gangsta,Kevin Gates,243462,2019-05-31,79,0.879,0.574,-5.602,0.391,0.519,8.76e-06,0.144,0.346,144.911,4.0577
Big Gangsta,Kevin Gates,243462,2019-05-31,79,0.879,0.574,-5.602,0.391,0.519,8.76e-06,0.144,0.346,144.911,4.0577
Big Gangsta,Kevin Gates,243462,2019-05-31,79,0.879,0.574,-5.602,0.391,0.519,8.76e-06,0.144,0.346,144.911,4.0577
Up,Cardi B,156944,2021-02-05,89,0.868,0.795,-6.044,0.2689999999999999,0.0012,0.0193,0.0461,0.8190000000000001,166.0,2.615733333333333
Up,Cardi B,156944,2021-02-05,89,0.868,0.795,-6.044,0.2689999999999999,0.0012,0.0193,0.0461,0.8190000000000001,166.0,2.615733333333333
Up,Cardi B,156944,2021-02-05,89,0.868,0.795,-6.044,0.2689999999999999,0.0012,0.0193,0.0461,0.8190000000000001,166.0,2.615733333333333
Up,Cardi B,156944,2021-02-05,89,0.868,0.795,-6.044,0.2689999999999999,0.0012,0.0193,0.0461,0.8190000000000001,166.0,2.615733333333333
16 Shots,Stefflon Don,224727,2017-05-22,72,0.684,0.79,-4.871,0.0735,0.0271,0.000371,0.0854,0.5489999999999999,95.083,3.74545
16 Shots,Stefflon Don,224727,2017-05-22,72,0.684,0.79,-4.871,0.0735,0.0271,0.000371,0.0854,0.5489999999999999,95.083,3.74545
Gimme More,Britney Spears,251240,2007-10-25,83,0.7879999999999999,0.8440000000000001,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,4.187333333333333
Gimme More,Britney Spears,251240,2007-10-25,83,0.7879999999999999,0.8440000000000001,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,4.187333333333333
Imma Be,Black Eyed Peas,257560,2009-01-01,68,0.597,0.517,-6.962999999999999,0.365,0.179,0.0,0.307,0.412,92.035,4.292666666666666
Imma Be,Black Eyed Peas,257560,2009-01-01,68,0.597,0.517,-6.962999999999999,0.365,0.179,0.0,0.307,0.412,92.035,4.292666666666666
Alo Michael - rico rico rico rico,Los Dioses Del Ritmo,186460,2020-05-30,35,0.853,0.667,-10.255999999999998,0.0823,0.265,0.0003819999999999,0.0819999999999999,0.919,115.992,3.107666666666667
You're Perfect,Charly Black,196973,2017-10-20,69,0.8170000000000001,0.855,-3.282,0.244,0.318,0.0,0.0517,0.7829999999999999,104.909,3.2828833333333334
You're Perfect,Charly Black,196973,2017-10-20,69,0.8170000000000001,0.855,-3.282,0.244,0.318,0.0,0.0517,0.7829999999999999,104.909,3.2828833333333334
Birthday,Slapaholics,171040,2021-05-01,35,0.688,0.862,-7.896,0.257,0.0377,0.000269,0.0746,0.417,77.514,2.8506666666666667
